claim,evidence,label
Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,"He then played Detective John Amsterdam in the short-lived Fox television series New Amsterdam -LRB- 2008 -RRB- , as well as appearing as Frank Pike in the 2009 Fox television film Virtuality , originally intended as a pilot .|The Fox Broadcasting Company -LRB- often shortened to Fox and stylized as FOX -RRB- is an American English language commercial broadcast television network that is owned by the Fox Entertainment Group subsidiary of 21st Century Fox .",SUPPORTS
Roman Atwood is a content creator.,"He is best known for his vlogs , where he posts updates about his life on a daily basis .",SUPPORTS
"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","The subsequent expansion of the list of principal arts in the 20th century reached to nine : architecture , dance , sculpture , music , painting , poetry -LRB- described broadly as a form of literature with aesthetic purpose or function , which also includes the distinct genres of theatre and narrative -RRB- , film , photography and graphic arts .",SUPPORTS
Adrienne Bailon is an accountant.,"Adrienne Eliza Houghton -LRB- née Bailon ; born October 24 , 1983 -RRB- is an American singer-songwriter , recording artist , actress , dancer and television personality .",REFUTES
System of a Down briefly disbanded in limbo.,"System of a Down , sometimes shortened to SOAD or System , is an heavy metal band from Glendale , California , formed in 1994 .|A system is a regularly interacting or interdependent group of items forming a unified whole .|System of a Down , sometimes shortened to SOAD or System , is an heavy metal band from Glendale , California , formed in 1994 .|In Catholic theology , Limbo -LRB- Latin limbus , edge or boundary , referring to the `` edge '' of Hell -RRB- is a speculative idea about the afterlife condition of those who die in original sin without being assigned to the Hell of the Damned .",NOT ENOUGH INFO
Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,"Homeland is an American spy thriller television series developed by Howard Gordon and Alex Gansa based on the Israeli series Prisoners of War -LRB- Original title חטופים Hatufim , literally `` Abductees '' -RRB- , which was created by Gideon Raff .|Prisoners of War -LRB- original title in -RRB- is an Israeli television drama series made by Keshet and originally aired on Israel 's Channel 2 from March to May 2010 .",SUPPORTS
Beautiful reached number two on the Billboard Hot 100 in 2003.,"Beautiful , an adjective used to describe things as possessing beauty , may refer to :|Number Two , No. 2 , or similar may refer to :|The Billboard Hot 100 is the music industry standard record chart in the United States for singles , published weekly by Billboard magazine .|2003 was designated the :",NOT ENOUGH INFO
Neal Schon was named in 1954.,"Neal Joseph Schon -LRB- born February 27 , 1954 -RRB- is an American rock guitarist , songwriter , and vocalist , best known for his work with the bands Journey and Bad English .|",NOT ENOUGH INFO
The Boston Celtics play their home games at TD Garden.,"The Celtics play their home games at the TD Garden , which they share with the National Hockey League -LRB- NHL -RRB- 's Boston Bruins .",SUPPORTS
The Ten Commandments is an epic film.,"The Ten Commandments is a 1956 American biblical epic film produced , directed , and narrated by Cecil B. DeMille , shot in VistaVision -LRB- color by Technicolor -RRB- , and released by Paramount Pictures .",SUPPORTS
Tetris has sold millions of physical copies.,"In January 2010 , it was announced that the Tetris franchise had sold more than 170 million copies , approximately 70 million physical copies and over 100 million copies for cell phones , making it the best selling paid-downloaded game of all time .",SUPPORTS
Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,"Her debut solo album She 's So Unusual -LRB- 1983 -RRB- was the first debut female album to chart four top-five hits on the Billboard Hot 100 -- `` Girls Just Want to Have Fun '' , `` Time After Time '' , `` She Bop '' , and `` All Through the Night '' -- and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985 .",SUPPORTS
There is a movie called The Hunger Games.,The Hunger Games is a 2012 American dystopian science fiction adventure film directed by Gary Ross and based on the novel of the same name by Suzanne Collins .,SUPPORTS
Ryan Gosling has been to a country in Africa.,"He is a supporter of PETA , Invisible Children and the Enough Project and has traveled to Chad , Uganda and eastern Congo to raise awareness about conflicts in the regions .|Chad -LRB- -LSB- tʃæd -RSB- تشاد ; Tchad -LSB- tʃa -LRB- d -RRB- -RSB- -RRB- , officially the Republic of Chad -LRB- ; `` Republic of the Chad '' -RRB- , is a landlocked country in Central Africa .",SUPPORTS
"Stranger Things is set in Bloomington, Indiana.","Set in the fictional town of Hawkins , Indiana in the 1980s , the first season focuses on the investigation into the disappearance of a young boy by his friends , older brother and traumatized mother and the local police chief , amid supernatural events occurring around the town including the appearance of a psychokinetic girl who helps the missing boy 's friends in their own search .",REFUTES
Ryan Seacrest is a person.,"Ryan John Seacrest -LRB- born December 24 , 1974 -RRB- is an American radio personality , television host and producer .",SUPPORTS
Puerto Rico is not an unincorporated territory of the United States.,"Puerto Rico -LRB- Spanish for `` Rich Port '' -RRB- , officially the Commonwealth of Puerto Rico -LRB- Estado Libre Asociado de Puerto Rico , `` Free Associated State of Puerto Rico '' -RRB- and briefly called Porto Rico , is an unincorporated territory of the United States located in the northeast Caribbean Sea .",REFUTES
Michael Giacchino composed the score for Doctor Strange.,"He composed the scores to the television series Lost , Alias and Fringe , the video ' game series Medal of Honor and Call of Duty and many films such as The Incredibles , Ratatouille , Up , Mission : Impossible - Ghost Protocol , Dawn of the Planet of the Apes , Jurassic World , Inside Out , Star Trek Beyond , Doctor Strange , Rogue One and Spider-Man : Homecoming .",SUPPORTS
Stranger than Fiction is a film.,"Stranger than Fiction is a 2006 American fantasy comedy-drama film directed by Marc Forster , produced by Lindsay Doran , and written by Zach Helm .",SUPPORTS
