claim,evidence,label,string_evidence
Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,"['The Fox Broadcasting Company -LRB- often shortened to Fox and stylized as FOX -RRB- is an American English language commercial broadcast television network that is owned by the Fox Entertainment Group subsidiary of 21st Century Fox .', 'Nikolaj Coster-Waldau -LRB- -LSB- neɡ̊olaɪ̯ kʰʌsd̥ɐ ˈʋald̥ɑʊ̯ -RSB- ; born 27 July 1970 -RRB- is a Danish actor , producer and screenwriter .', 'Since then he has appeared in numerous films in his native Scandinavia and Europe in general , including Headhunters -LRB- 2011 -RRB- and A Thousand Times Good Night -LRB- 2013 -RRB- .', ""Most viewers in Canada have access to at least one U.S.-based Fox affiliate , either over-the-air or through a pay television provider , although Fox 's National Football League telecasts and most of its prime time programming are subject to simultaneous substitution regulations for cable and satellite providers imposed by the Canadian Radio-television and Telecommunications Commission -LRB- CRTC -RRB- to protect rights held by domestically based networks ."", ""Coster-Waldau 's breakthrough performance in Denmark was his role in the film Nightwatch -LRB- 1994 -RRB- .""]",SUPPORTS,"The Fox Broadcasting Company -LRB- often shortened to Fox and stylized as FOX -RRB- is an American English language commercial broadcast television network that is owned by the Fox Entertainment Group subsidiary of 21st Century Fox .|Nikolaj Coster-Waldau -LRB- -LSB- neɡ̊olaɪ̯ kʰʌsd̥ɐ ˈʋald̥ɑʊ̯ -RSB- ; born 27 July 1970 -RRB- is a Danish actor , producer and screenwriter .|Since then he has appeared in numerous films in his native Scandinavia and Europe in general , including Headhunters -LRB- 2011 -RRB- and A Thousand Times Good Night -LRB- 2013 -RRB- .|Most viewers in Canada have access to at least one U.S.-based Fox affiliate , either over-the-air or through a pay television provider , although Fox 's National Football League telecasts and most of its prime time programming are subject to simultaneous substitution regulations for cable and satellite providers imposed by the Canadian Radio-television and Telecommunications Commission -LRB- CRTC -RRB- to protect rights held by domestically based networks .|Coster-Waldau 's breakthrough performance in Denmark was his role in the film Nightwatch -LRB- 1994 -RRB- ."
Roman Atwood is a content creator.,"[""Content is `` something that is to be expressed through some medium , as speech , writing or any of various arts '' for self-expression , distribution , marketing and/or publication ."", 'Typical forms of content creation include maintaining and updating web sites , blogging , photography , videography , online commentary , the maintenance of social media accounts , and editing and distribution of digital media .', 'Content Creation is the contribution of information to any media and most especially to digital media for an end-user/audience in specific contexts .', 'A Pew survey described content creation as the creation of `` the material people contribute to the online world .', ""His vlogging channel , `` RomanAtwoodVlogs '' , has a total of 3.3 billion views and 11.9 million subscribers .""]",SUPPORTS,"Content is `` something that is to be expressed through some medium , as speech , writing or any of various arts '' for self-expression , distribution , marketing and/or publication .|Typical forms of content creation include maintaining and updating web sites , blogging , photography , videography , online commentary , the maintenance of social media accounts , and editing and distribution of digital media .|Content Creation is the contribution of information to any media and most especially to digital media for an end-user/audience in specific contexts .|A Pew survey described content creation as the creation of `` the material people contribute to the online world .|His vlogging channel , `` RomanAtwoodVlogs '' , has a total of 3.3 billion views and 11.9 million subscribers ."
"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","['The subsequent expansion of the list of principal arts in the 20th century reached to nine : architecture , dance , sculpture , music , painting , poetry -LRB- described broadly as a form of literature with aesthetic purpose or function , which also includes the distinct genres of theatre and narrative -RRB- , film , photography and graphic arts .', ""Architecture -LRB- Latin architectura #Latin , from the Greek ἀρχιτέκτων arkhitekton `` architect '' , from ἀρχι - `` chief '' and τέκτων `` builder '' -RRB- is both the process and the product of planning , designing , and constructing buildings and other physical structures ."", 'The term usually refers to the arts that rely more on line or tone than on color , especially drawing and the various forms of engraving ; it is sometimes understood to refer specifically to printmaking processes , such as line engraving , aquatint , drypoint , etching , mezzotint , monotype , lithography , and screen printing -LRB- silk-screen , serigraphy -RRB- .', 'Music , theatre , film , dance , and other performing arts , as well as literature and other media such as interactive media , are included in a broader definition of art or the arts .', 'Architecture is often included as one of the visual arts ; however , like the decorative arts , or advertising , it involves the creation of objects where the practical considerations of use are essential -- in a way that they usually are not in a painting , for example .']",SUPPORTS,"The subsequent expansion of the list of principal arts in the 20th century reached to nine : architecture , dance , sculpture , music , painting , poetry -LRB- described broadly as a form of literature with aesthetic purpose or function , which also includes the distinct genres of theatre and narrative -RRB- , film , photography and graphic arts .|Architecture -LRB- Latin architectura #Latin , from the Greek ἀρχιτέκτων arkhitekton `` architect '' , from ἀρχι - `` chief '' and τέκτων `` builder '' -RRB- is both the process and the product of planning , designing , and constructing buildings and other physical structures .|The term usually refers to the arts that rely more on line or tone than on color , especially drawing and the various forms of engraving ; it is sometimes understood to refer specifically to printmaking processes , such as line engraving , aquatint , drypoint , etching , mezzotint , monotype , lithography , and screen printing -LRB- silk-screen , serigraphy -RRB- .|Music , theatre , film , dance , and other performing arts , as well as literature and other media such as interactive media , are included in a broader definition of art or the arts .|Architecture is often included as one of the visual arts ; however , like the decorative arts , or advertising , it involves the creation of objects where the practical considerations of use are essential -- in a way that they usually are not in a painting , for example ."
Adrienne Bailon is an accountant.,"['An accountant is a practitioner of accounting or accountancy , which is the measurement , disclosure or provision of assurance about financial information that helps managers , investors , tax authorities and others make decisions about allocating resource -LRB- s -RRB- .', ""Accountants who have demonstrated competency through their professional associations ' certification exams are certified to use titles such as Chartered Accountant , Chartered Certified Accountant or Certified Public Accountant ."", 'Non-qualified accountants may be employed by a qualified accountant , or may work independently without statutory privileges and obligations .', 'However , most accountants are employed in commerce , industry and the public sector .', 'The Big Four auditors are the largest employers of accountants worldwide .']",REFUTES,"An accountant is a practitioner of accounting or accountancy , which is the measurement , disclosure or provision of assurance about financial information that helps managers , investors , tax authorities and others make decisions about allocating resource -LRB- s -RRB- .|Accountants who have demonstrated competency through their professional associations ' certification exams are certified to use titles such as Chartered Accountant , Chartered Certified Accountant or Certified Public Accountant .|Non-qualified accountants may be employed by a qualified accountant , or may work independently without statutory privileges and obligations .|However , most accountants are employed in commerce , industry and the public sector .|The Big Four auditors are the largest employers of accountants worldwide ."
System of a Down briefly disbanded in limbo.,"['SilverHawks is an American animated television series developed by Rankin/Bass Productions and distributed by Lorimar-Telepictures in 1986 , now Warner Bros. .', 'System of a Down , sometimes shortened to SOAD or System , is an heavy metal band from Glendale , California , formed in 1994 .', ""In Catholic theology , Limbo -LRB- Latin limbus , edge or boundary , referring to the `` edge '' of Hell -RRB- is a speculative idea about the afterlife condition of those who die in original sin without being assigned to the Hell of the Damned ."", ""`` Down Down '' is a popular song by the English rock band Status Quo ."", 'A system is a regularly interacting or interdependent group of items forming a unified whole .']",NOT ENOUGH INFO,"SilverHawks is an American animated television series developed by Rankin/Bass Productions and distributed by Lorimar-Telepictures in 1986 , now Warner Bros. .|System of a Down , sometimes shortened to SOAD or System , is an heavy metal band from Glendale , California , formed in 1994 .|In Catholic theology , Limbo -LRB- Latin limbus , edge or boundary , referring to the `` edge '' of Hell -RRB- is a speculative idea about the afterlife condition of those who die in original sin without being assigned to the Hell of the Damned .|`` Down Down '' is a popular song by the English rock band Status Quo .|A system is a regularly interacting or interdependent group of items forming a unified whole ."
Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,"[""A prisoner of war -LRB- POW , PoW , PW , P/W , WP , PsW , enemy prisoner of war -LRB- EPW -RRB- or `` missing-captured '' -RRB- is a person , whether combatant or non-combatant , who is held in custody by a belligerent power during or immediately after an armed conflict ."", 'War is a state of armed conflict between societies .', 'A prisoner , -LRB- also known as an inmate or detainee -RRB- is a person who is deprived of liberty against his or her will .', 'A homeland -LRB- country of origin and native land -RRB- is the concept of the place -LRB- cultural geography -RRB- with which an ethnic group holds a long history and a deep cultural association -- the country in which a particular national identity began .', 'Belligerents hold prisoners of war in custody for a range of legitimate and illegitimate reasons , such as isolating them from enemy combatants still in the field -LRB- releasing and repatriating them in an orderly manner after hostilities -RRB- , demonstrating military victory , punishing them , prosecuting them for war crimes , exploiting them for their labour , recruiting or even conscripting them as their own combatants , collecting military and political intelligence from them , or indoctrinating them in new political or religious beliefs .']",SUPPORTS,"A prisoner of war -LRB- POW , PoW , PW , P/W , WP , PsW , enemy prisoner of war -LRB- EPW -RRB- or `` missing-captured '' -RRB- is a person , whether combatant or non-combatant , who is held in custody by a belligerent power during or immediately after an armed conflict .|War is a state of armed conflict between societies .|A prisoner , -LRB- also known as an inmate or detainee -RRB- is a person who is deprived of liberty against his or her will .|A homeland -LRB- country of origin and native land -RRB- is the concept of the place -LRB- cultural geography -RRB- with which an ethnic group holds a long history and a deep cultural association -- the country in which a particular national identity began .|Belligerents hold prisoners of war in custody for a range of legitimate and illegitimate reasons , such as isolating them from enemy combatants still in the field -LRB- releasing and repatriating them in an orderly manner after hostilities -RRB- , demonstrating military victory , punishing them , prosecuting them for war crimes , exploiting them for their labour , recruiting or even conscripting them as their own combatants , collecting military and political intelligence from them , or indoctrinating them in new political or religious beliefs ."
Beautiful reached number two on the Billboard Hot 100 in 2003.,"['The Billboard Hot 100 is the music industry standard record chart in the United States for singles , published weekly by Billboard magazine .', 'Number Two , No.', 'As of the issue for the week ending on June 10 , 2017 , the Hot 100 has had 1,065 different number one hits .', 'Beautiful , an adjective used to describe things as possessing beauty , may refer to : beauty beauty', '']",NOT ENOUGH INFO,"The Billboard Hot 100 is the music industry standard record chart in the United States for singles , published weekly by Billboard magazine .|Number Two , No.|As of the issue for the week ending on June 10 , 2017 , the Hot 100 has had 1,065 different number one hits .|Beautiful , an adjective used to describe things as possessing beauty , may refer to : beauty beauty|"
Neal Schon was named in 1954.,"['Neal Joseph Schon -LRB- born February 27 , 1954 -RRB- is an American rock guitarist , songwriter , and vocalist , best known for his work with the bands Journey and Bad English .', 'Schon was inducted into the Rock and Roll Hall of Fame as a member of Journey on April 7 , 2017 .', 'Schon was inducted into the Oklahoma Music Hall of Fame on August 23 , 2013 .', 'He was a member of the rock band Santana before forming Journey , and was also an original member of Hardline .', ""He is Journey 's last original constant member , having participated in every album and tour to date .""]",NOT ENOUGH INFO,"Neal Joseph Schon -LRB- born February 27 , 1954 -RRB- is an American rock guitarist , songwriter , and vocalist , best known for his work with the bands Journey and Bad English .|Schon was inducted into the Rock and Roll Hall of Fame as a member of Journey on April 7 , 2017 .|Schon was inducted into the Oklahoma Music Hall of Fame on August 23 , 2013 .|He was a member of the rock band Santana before forming Journey , and was also an original member of Hardline .|He is Journey 's last original constant member , having participated in every album and tour to date ."
The Boston Celtics play their home games at TD Garden.,"['TD Garden is the home arena for the Boston Bruins of the National Hockey League and the Boston Celtics of the National Basketball Association .', 'TD Garden is the home arena for the Boston Bruins of the National Hockey League and the Boston Celtics of the National Basketball Association .', ""The Celtics compete in the National Basketball Association -LRB- NBA -RRB- as a member of the league 's Eastern Conference Atlantic Division ."", 'The Milwaukee Brewers are an American professional baseball team and are based in Milwaukee , Wisconsin .', ""TD Garden , often called `` Boston Garden '' and `` The Garden '' , is a multi-purpose arena in Boston .""]",SUPPORTS,"TD Garden is the home arena for the Boston Bruins of the National Hockey League and the Boston Celtics of the National Basketball Association .|TD Garden is the home arena for the Boston Bruins of the National Hockey League and the Boston Celtics of the National Basketball Association .|The Celtics compete in the National Basketball Association -LRB- NBA -RRB- as a member of the league 's Eastern Conference Atlantic Division .|The Milwaukee Brewers are an American professional baseball team and are based in Milwaukee , Wisconsin .|TD Garden , often called `` Boston Garden '' and `` The Garden '' , is a multi-purpose arena in Boston ."
The Ten Commandments is an epic film.,"[""The commandments include instructions to worship only God , to honour one 's parents , and to keep the sabbath , as well as prohibitions against idolatry , blasphemy , murder , adultery , theft , dishonesty , and coveting ."", 'The Ten Commandments appear twice in the Hebrew Bible , in the books of Exodus and Deuteronomy .', 'The Ten Commandments , also known as the Decalogue , are a set of biblical laws relating to ethics and worship , which play a fundamental role in Judaism , Christianity , and Islam .', 'Epic film is a style of filmmaking with large scale , sweeping scope , and spectacle .', 'Epic historical films would usually take a historical or a mythic event and add an extravagant setting and lavish costumes , accompanied by an expansive musical score with an ensemble cast , which would make them among the most expensive of films to produce .']",SUPPORTS,"The commandments include instructions to worship only God , to honour one 's parents , and to keep the sabbath , as well as prohibitions against idolatry , blasphemy , murder , adultery , theft , dishonesty , and coveting .|The Ten Commandments appear twice in the Hebrew Bible , in the books of Exodus and Deuteronomy .|The Ten Commandments , also known as the Decalogue , are a set of biblical laws relating to ethics and worship , which play a fundamental role in Judaism , Christianity , and Islam .|Epic film is a style of filmmaking with large scale , sweeping scope , and spectacle .|Epic historical films would usually take a historical or a mythic event and add an extravagant setting and lavish costumes , accompanied by an expansive musical score with an ensemble cast , which would make them among the most expensive of films to produce ."
